home_team,away_team,home_goal,away_goal,season,round,data,hora,home_team_state_BA,home_team_state_CE,home_team_state_GO,home_team_state_MG,home_team_state_MT,home_team_state_PE,home_team_state_PR,home_team_state_RJ,home_team_state_RS,home_team_state_SC,home_team_state_SP,away_team_state_BA,away_team_state_CE,away_team_state_GO,away_team_state_MG,away_team_state_MT,away_team_state_PE,away_team_state_PR,away_team_state_RJ,away_team_state_RS,away_team_state_SC,away_team_state_SP
Juventude,Atletico-GO,1,1,2021,11,2021-07-11,11:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Flamengo,Chapecoense,2,1,2021,11,2021-07-11,18:15:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cuiaba,Ceara,2,2,2021,11,2021-07-11,18:15:00,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fortaleza,Corinthians,1,0,2021,11,2021-07-11,20:30:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ceara,Athletico-PR,1,0,2021,12,2021-07-17,17:00:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Sao Paulo,Fortaleza,0,1,2021,12,2021-07-17,17:00:00,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Corinthians,Atletico-MG,1,2,2021,12,2021-07-17,19:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Fluminense,Gremio,0,1,2021,12,2021-07-17,21:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chapecoense,Cuiaba,2,3,2021,12,2021-07-18,11:00:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Atletico-GO,Palmeiras,0,3,2021,12,2021-07-18,16:00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bahia,Flamengo,0,5,2021,12,2021-07-18,18:15:00,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Internacional,Juventude,1,0,2021,12,2021-07-18,20:30:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Bragantino,Santos,2,2,2021,12,2021-07-18,20:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
America-MG,Sport,0,1,2021,12,2021-07-19,20:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Gremio,America-MG,1,1,2021,13,2021-07-24,17:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Palmeiras,Fluminense,1,0,2021,13,2021-07-24,19:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Atletico-MG,Bahia,3,0,2021,13,2021-07-25,11:00:00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Fortaleza,Bragantino,1,0,2021,13,2021-07-25,16:00:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Flamengo,Sao Paulo,5,1,2021,13,2021-07-25,16:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Athletico-PR,Internacional,2,1,2021,13,2021-07-25,18:15:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Santos,Atletico-GO,0,1,2021,13,2021-07-25,18:15:00,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Sport,Ceara,0,0,2021,13,2021-07-25,20:30:00,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Juventude,Chapecoense,1,0,2021,13,2021-07-26,18:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Cuiaba,Corinthians,1,2,2021,13,2021-07-26,20:00:00,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sao Paulo,Palmeiras,0,0,2021,14,2021-07-31,19:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Internacional,Cuiaba,0,0,2021,14,2021-07-31,20:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Bragantino,Gremio,1,0,2021,14,2021-07-31,21:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Corinthians,Flamengo,1,3,2021,14,2021-08-01,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Atletico-MG,Athletico-PR,2,0,2021,14,2021-08-01,16:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Chapecoense,Santos,0,1,2021,14,2021-08-01,18:15:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Bahia,Sport,0,1,2021,14,2021-08-01,18:15:00,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Atletico-GO,America-MG,1,1,2021,14,2021-08-01,20:30:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ceara,Fortaleza,3,1,2021,14,2021-08-01,20:30:00,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fluminense,Juventude,1,1,2021,14,2021-09-02,19:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Sport,Bragantino,0,0,2021,15,2021-08-06,19:00:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Athletico-PR,Sao Paulo,1,2,2021,15,2021-08-07,18:00:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Palmeiras,Fortaleza,2,3,2021,15,2021-08-07,21:00:00,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Cuiaba,Bahia,1,1,2021,15,2021-08-07,21:00:00,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
America-MG,Fluminense,1,0,2021,15,2021-08-08,16:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
